Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;WskaŸnik;Czas uœredniania;Uœredniona wartoœæ;Min;Maks;Liczba pomiarów
2016;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocWybCon;PM10;1g;36,0;6,4;383,2;8562
2016;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocWybCon;PM10;24g;32,5;4,8;142,9;353
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsZabkPowWar;PM10;1g;37,4;0,5;272,1;8484
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsZgorBohGet;PM10;24g;29,0;6,9;186,5;362
2016;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsZlotoStasz;PM10;24g;30,2;6,6;148,1;341
2016;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpBrodKochan;PM10;24g;31,4;6,6;103,4;271
2016;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydPlPozna;PM10;1g;35,8;1,0;345,2;7662
2016;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydPlPozna;PM10;24g;35,4;5,7;132,8;340
2016;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;PM10;1g;29,0;1,0;408,2;8329
2016;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpCiechTezni;PM10;24g;25,2;2,8;96,9;365
2016;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpGrudPilsud;PM10;1g;36,7;1,6;765,2;8506
2016;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpGrudSienki;PM10;24g;34,6;7,3;131,0;341
2016;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpInowOsMatwMOB;PM10;1g;31,5;1,0;254,6;6990
2016;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpInowSolank;PM10;1g;23,6;1,0;200,9;8081
2016;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpInowSolank;PM10;24g;22,9;4,6;95,0;358
2016;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpKoniczynka;PM10;24g;25,7;3,2;99,7;359
2016;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpNaklSkargi;PM10;24g;40,4;5,0;163,1;357
2016;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;PM10;1g;30,7;1,0;297,3;5433
2016;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;PM10;24g;27,5;5,4;88,2;366
2016;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruKaszow;PM10;1g;26,2;1,0;239,8;8266
2016;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruWSikor;PM10;1g;29,7;1,0;275,3;7950
2016;kujawsko-pomorskie;PL0403;miasto W³oc³awek;KpWloclOkrze;PM10;1g;28,9;1,0;387,7;6421
2016;kujawsko-pomorskie;PL0403;miasto W³oc³awek;KpWloclOkrze;PM10;24g;30,6;5,6;122,3;365
2016;kujawsko-pomorskie;PL0403;miasto W³oc³awek;KpWloclSiels;PM10;24g;28,8;5,1;109,4;363
2016;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpZielBoryTu;PM10;24g;15,6;1,9;81,6;352
2016;lubelskie;PL0602;strefa lubelska;LbBiaPodOrze;PM10;24g;29,7;5,0;144,0;366
2016;lubelskie;PL0602;strefa lubelska;LbChelJagiel;PM10;24g;32,3;7,0;150,0;366
2016;lubelskie;PL0602;strefa lubelska;LbKrasKoszar;PM10;24g;28,0;7,0;140,0;366
2016;lubelskie;PL0601;Aglomeracja Lubelska;LbLubObywate;PM10;1g;30,9;0,9;551,1;8727
2016;lubelskie;PL0601;Aglomeracja Lubelska;LbLubSliwins;PM10;24g;25,1;5,0;97,0;366
2016;lubelskie;PL0602;strefa lubelska;LbPulaKarpin;PM10;24g;25,0;4,0;87,0;359
2016;lubelskie;PL0602;strefa lubelska;LbRadzPodSit;PM10;24g;28,1;4,0;128,0;362
2016;lubelskie;PL0602;strefa lubelska;LbZamoHrubie;PM10;24g;29,2;5,5;114,0;366
2016;³ódzkie;PL1002;strefa ³ódzka;LdBrzeReform;PM10;24g;39,6;8,0;116,0;364
2016;³ódzkie;PL1002;strefa ³ódzka;LdGajewUjWod;PM10;1g;27,6;1,0;264,0;8578
2016;³ódzkie;PL1002;strefa ³ódzka;LdKutnKosciu;PM10;24g;31,8;7,0;103,0;366
2016;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;PM10;1g;27,7;1,3;168,6;7546
2016;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzGdansk;PM10;1g;34,0;1,3;242,2;8239
2016;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzJanPaw;PM10;1g;31,9;1,0;293,0;8541
2016;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzKilins;PM10;1g;37,5;8,9;524,8;8629
2016;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzLegion;PM10;24g;39,2;9,0;131,0;364
2016;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzRudzka;PM10;24g;37,6;9,0;153,0;365
2016;³ódzkie;PL1002;strefa ³ódzka;LdLowiczSien;PM10;24g;37,6;9,0;143,0;366
2016;³ódzkie;PL1002;strefa ³ódzka;LdOpocPlKosc;PM10;24g;52,2;12,0;205,0;366
2016;³ódzkie;PL1001;Aglomeracja £ódzka;LdPabiKilins;PM10;24g;36,3;7,0;130,0;357
2016;³ódzkie;PL1001;Aglomeracja £ódzka;LdPabiKonsta;PM10;1g;38,9;1,1;416,6;8516
2016;³ódzkie;PL1002;strefa ³ódzka;LdPioTrKraPr;PM10;1g;37,4;1,2;424,7;8657
2016;³ódzkie;PL1002;strefa ³ódzka;LdPioTrKraPr;PM10;24g;38,1;9,0;183,0;366
2016;³ódzkie;PL1002;strefa ³ódzka;LdRadomsRoln;PM10;1g;42,7;1,2;614,7;8544
2016;³ódzkie;PL1002;strefa ³ódzka;LdRadomsRoln;PM10;24g;42,9;11,0;137,0;364
2016;³ódzkie;PL1002;strefa ³ódzka;LdRawaNiepod;PM10;24g;33,3;4,0;112,0;356
2016;³ódzkie;PL1002;strefa ³ódzka;LdSieraPolna;PM10;24g;33,9;7,0;154,0;366
2016;³ódzkie;PL1002;strefa ³ódzka;LdSkierKonop;PM10;24g;36,2;6,0;137,0;366
2016;³ódzkie;PL1002;strefa ³ódzka;LdToMaSwAnto;PM10;24g;40,6;9,0;191,0;366
2016;³ódzkie;PL1002;strefa ³ódzka;LdWieluPOW12;PM10;24g;33,9;7,0;129,0;365
2016;³ódzkie;PL1002;strefa ³ódzka;LdZduWoKrole;PM10;24g;42,9;10,0;148,0;366
2016;³ódzkie;PL1001;Aglomeracja £ódzka;LdZgieMielcz;PM10;1g;22,6;1,0;240,0;8384
2016;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzKosGdy;PM10;1g;26,4;0,0;206,2;8676
2016;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzKosGdy;PM10;24g;31,5;8,0;96,9;364
2016;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzPilsud;PM10;24g;26,1;6,5;84,8;351
2016;lubuskie;PL0803;strefa lubuska;LuSulecDudka;PM10;1g;27,3;0,0;267,6;8735
2016;lubuskie;PL0803;strefa lubuska;LuSulecDudka;PM10;24g;28,0;6,8;97,9;344
2016;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;PM10;1g;32,4;0,5;337,3;8727
2016;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;PM10;24g;32,4;8,2;135,5;351
2016;lubuskie;PL0803;strefa lubuska;LuZarySzyman;PM10;1g;27,8;0,1;331,9;8701
2016;lubuskie;PL0803;strefa lubuska;LuZarySzyman;PM10;24g;26,9;4,0;128,0;366
2016;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;PM10;1g;23,0;0,0;176,7;8620
2016;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;PM10;24g;24,4;5,4;110,7;365
2016;ma³opolskie;PL1203;strefa ma³opolska;MpBochKonfed;PM10;24g;34,8;6,0;197,3;366
2016;ma³opolskie;PL1203;strefa ma³opolska;MpChrzaPlTysMOB;PM10;24g;31,7;9,6;127,1;112
2016;ma³opolskie;PL1203;strefa ma³opolska;MpDobczSzkolMOB;PM10;24g;28,6;7,1;147,9;112
2016;ma³opolskie;PL1203;strefa ma³opolska;MpGorlKrasin;PM10;24g;26,1;6,9;106,1;356
2016;ma³opolskie;PL1203;strefa ma³opolska;MpKalZebRyneMOB;PM10;24g;43,2;9,9;191,1;112
2016;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;PM10;1g;56,7;3,0;444,4;8736
2016;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;PM10;1g;40,5;3,0;419,6;8633
2016;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;PM10;24g;39,4;8,1;295,3;361
2016;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;PM10;1g;41,3;3,0;397,1;8696
2016;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;PM10;24g;39,9;6,4;275,4;342
2016;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakDietla;PM10;1g;48,6;3,0;449,5;8661
2016;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakOsPias;PM10;1g;35,9;3,0;268,6;8463
2016;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakOsPias;PM10;24g;36,7;7,1;203,3;349
2016;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakZloRog;PM10;1g;40,9;3,0;342,9;8487
2016;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakZloRog;PM10;24g;40,7;7,2;231,2;362
2016;ma³opolskie;PL1203;strefa ma³opolska;MpMuszynKityMOB;PM10;24g;27,9;7,2;107,7;116
2016;ma³opolskie;PL1203;strefa ma³opolska;MpNiepo3Maja;PM10;24g;34,5;6,2;259,6;362
2016;ma³opolskie;PL1203;strefa ma³opolska;MpNoSaczNadb;PM10;1g;40,7;3,0;358,3;8584
2016;ma³opolskie;PL1203;strefa ma³opolska;MpNoSaczNadb;PM10;24g;40,9;6,5;210,7;364
2016;ma³opolskie;PL1203;strefa ma³opolska;MpNoTargPSlo;PM10;1g;35,9;2,2;630,7;6662
2016;ma³opolskie;PL1203;strefa ma³opolska;MpNoTargPSlo;PM10;24g;34,2;5,0;275,0;259
2016;ma³opolskie;PL1203;strefa ma³opolska;MpOlkuFrNull;PM10;1g;30,9;3,0;295,1;8010
2016;ma³opolskie;PL1203;strefa ma³opolska;MpPiwnZdrojoMOB;PM10;24g;24,0;6,1;87,3;114
2016;ma³opolskie;PL1203;strefa ma³opolska;MpSkawOsOgro;PM10;1g;42,5;3,0;458,5;8714
2016;ma³opolskie;PL1202;miasto Tarnów;MpTarBitStud;PM10;1g;29,0;3,0;299,7;8666
2016;ma³opolskie;PL1202;miasto Tarnów;MpTarBitStud;PM10;24g;30,6;6,3;111,9;353
2016;ma³opolskie;PL1202;miasto Tarnów;MpTarRoSitko;PM10;1g;36,9;3,0;360,2;8710
2016;ma³opolskie;PL1203;strefa ma³opolska;MpTrzebOsZWM;PM10;1g;35,7;3,0;267,3;8646
2016;ma³opolskie;PL1203;strefa ma³opolska;MpTrzebOsZWM;PM10;24g;34,4;7,8;151,9;363
2016;ma³opolskie;PL1203;strefa ma³opolska;MpTuchChopin;PM10;24g;39,0;6,7;258,4;363
2016;ma³opolskie;PL1203;strefa ma³opolska;MpWielDembowMOB;PM10;24g;33,9;6,9;138,1;112
2016;ma³opolskie;PL1203;strefa ma³opolska;MpZakopaSien;PM10;1g;31,6;2,5;468,7;8716
2016;ma³opolskie;PL1203;strefa ma³opolska;MpZakopaSien;PM10;24g;30,8;5,1;181,5;354
2016;mazowieckie;PL1404;strefa mazowiecka;MzGranicaKPN;PM10;24g;22,6;3,3;89,5;359
2016;mazowieckie;PL1404;strefa mazowiecka;MzGutyDuCzer;PM10;24g;18,5;2,2;95,7;360
2016;mazowieckie;PL1404;strefa mazowiecka;MzLegZegrzyn;PM10;24g;30,1;6,7;131,7;363
2016;mazowieckie;PL1404;strefa mazowiecka;MzMlawOrdona;PM10;24g;31,0;8,3;127,4;337
2016;mazowieckie;PL1404;strefa mazowiecka;MzOstroHalle;PM10;24g;26,7;7,1;109,0;366
2016;mazowieckie;PL1404;strefa mazowiecka;MzOtwoBrzozo;PM10;24g;34,0;4,4;196,3;364
2016;mazowieckie;PL1404;strefa mazowiecka;MzPiasPulask;PM10;24g;30,9;6,2;114,7;364
2016;mazowieckie;PL1402;miasto P³ock;MzPlocKroJad;PM10;24g;27,4;6,0;94,5;364
2016;mazowieckie;PL1402;miasto P³ock;MzPlocMiReja;PM10;1g;30,1;3,6;183,9;8750
2016;mazowieckie;PL1403;miasto Radom;MzRad25Czerw;PM10;24g;30,6;7,4;147,7;360
2016;mazowieckie;PL1403;miasto Radom;MzRadTochter;PM10;1g;34,5;0,4;340,4;8757
2016;mazowieckie;PL1404;strefa mazowiecka;MzSiedKonars;PM10;1g;30,1;3,5;514,5;8697
2016;mazowieckie;PL1404;strefa mazowiecka;MzSiedKonars;PM10;24g;27,8;8,4;113,3;324
2016;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAKrzywo;PM10;24g;29,5;5,6;102,0;366
2016;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAlNiepo;PM10;1g;41,6;3,1;552,7;8591
2016;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAlNiepo;PM10;24g;41,0;10,7;129,4;357
2016;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarKondrat;PM10;1g;29,8;0,8;250,6;8139
2016;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarMarszal;PM10;1g;37,1;5,2;209,6;8644
2016;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarTolstoj;PM10;24g;28,1;5,4;90,0;366
2016;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;PM10;1g;27,5;0,8;137,3;8693
2016;mazowieckie;PL1404;strefa mazowiecka;MzZyraRoosev;PM10;1g;37,9;3,5;369,5;8028
2016;opolskie;PL1602;strefa opolska;OpGlubRatusz;PM10;24g;32,1;8,0;156,0;363
2016;opolskie;PL1602;strefa opolska;OpKKozBSmial;PM10;1g;34,0;0,0;252,8;8565
2016;opolskie;PL1602;strefa opolska;OpKKozBSmial;PM10;24g;29,4;2,5;142,0;344
2016;opolskie;PL1602;strefa opolska;OpKluczMicki;PM10;24g;32,4;7,0;152,0;361
2016;opolskie;PL1602;strefa opolska;OpNysaRodzie;PM10;24g;33,9;2,5;166,0;353
2016;opolskie;PL1602;strefa opolska;OpOlesSlowac;PM10;1g;32,9;0,0;279,0;7833
2016;opolskie;PL1601;miasto Opole;OpOpoleMinor;PM10;1g;31,0;0,4;215,6;8285
2016;opolskie;PL1601;miasto Opole;OpOpoleOsAKr;PM10;24g;30,9;8,0;161,0;341
2016;opolskie;PL1602;strefa opolska;OpZdziePiast;PM10;1g;37,8;0,2;297,5;8692
2016;opolskie;PL1602;strefa opolska;OpZdziePiast;PM10;24g;36,9;7,0;198,0;360
2016;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWarsza;PM10;1g;23,9;0,0;294,1;7457
2016;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWaszyn;PM10;24g;19,8;3,3;65,2;301
2016;podlaskie;PL2002;strefa podlaska;PdHajnowkJagMOB;PM10;1g;27,5;0,9;460,0;8525
2016;podlaskie;PL2002;strefa podlaska;PdLomSikorsk;PM10;1g;23,7;0,0;486,7;8520
2016;podlaskie;PL2002;strefa podlaska;PdSuwPulaski;PM10;24g;19,2;3,7;99,0;335
2016;podkarpackie;PL1802;strefa podkarpacka;PkDebiGrottg;PM10;24g;33,0;5,7;186,0;345
2016;podkarpackie;PL1802;strefa podkarpacka;PkJarosPruch;PM10;24g;34,9;7,7;183,0;360
2016;podkarpackie;PL1802;strefa podkarpacka;PkJasloSikor;PM10;1g;26,8;0,5;279,4;8712
2016;podkarpackie;PL1802;strefa podkarpacka;PkJasloSikor;PM10;24g;26,4;6,2;109,0;364
2016;podkarpackie;PL1802;strefa podkarpacka;PkKrosKletow;PM10;24g;29,2;9,2;150,0;363
2016;podkarpackie;PL1802;strefa podkarpacka;PkMielPogodn;PM10;24g;31,7;7,8;115,0;349
2016;podkarpackie;PL1802;strefa podkarpacka;PkMielSolski;PM10;1g;31,1;0,2;295,5;8306
2016;podkarpackie;PL1802;strefa podkarpacka;PkNiskoSzkla;PM10;1g;27,3;1,3;314,0;8711
2016;podkarpackie;PL1802;strefa podkarpacka;PkNiskoSzkla;PM10;24g;27,2;7,4;111,0;360
2016;podkarpackie;PL1802;strefa podkarpacka;PkPrzemGrunw;PM10;1g;28,9;0,1;287,7;7265
2016;podkarpackie;PL1802;strefa podkarpacka;PkPrzemGrunw;PM10;24g;26,9;5,5;130,0;342
2016;podkarpackie;PL1801;miasto Rzeszów;PkRzeszRejta;PM10;1g;27,4;2,4;264,5;8701
2016;podkarpackie;PL1801;miasto Rzeszów;PkRzeszRejta;PM10;24g;27,5;6,8;108,0;361
2016;podkarpackie;PL1802;strefa podkarpacka;PkSanoSadowa;PM10;24g;27,9;7,3;88,4;354
2016;podkarpackie;PL1802;strefa podkarpacka;PkTarnDabrow;PM10;24g;29,2;6,6;136,0;364
2016;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaGleboka;PM10;24g;23,7;1,0;111,0;337
2016;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaKacze02;PM10;1g;19,1;1,0;154,0;8739
2016;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLecz08m;PM10;24g;22,2;3,0;96,0;326
2016;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLeczk08;PM10;1g;19,8;1,0;217,6;8645
2016;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaOstrz05;PM10;1g;17,0;1,0;144,8;8678
2016;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaPoWie01;PM10;1g;23,1;1,0;189,6;8768
2016;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaWyzwo03;PM10;1g;16,3;1,0;262,3;8775
2016;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdyJozBema;PM10;24g;20,7;2,0;81,0;299
2016;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdyPoreb04;PM10;1g;15,4;1,0;182,1;8673
2016;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdySzaf09N;PM10;1g;15,3;1,0;203,1;8429
2016;pomorskie;PL2202;strefa pomorska;PmKosTargo12;PM10;1g;32,0;1,0;318,0;6461
2016;pomorskie;PL2202;strefa pomorska;PmKosTargo12;PM10;24g;28,8;6,0;116,0;365
2016;pomorskie;PL2202;strefa pomorska;PmKwiSportow;PM10;24g;22,5;1,0;85,0;364
2016;pomorskie;PL2202;strefa pomorska;PmLebMalcz16;PM10;1g;45,0;1,0;418,0;2648
2016;pomorskie;PL2202;strefa pomorska;PmLebMalcz16;PM10;24g;28,9;1,0;128,0;354
2016;pomorskie;PL2202;strefa pomorska;PmLinieKos17;PM10;24g;20,2;4,0;85,0;321
2016;pomorskie;PL2202;strefa pomorska;PmMalMicki15;PM10;1g;23,0;1,0;247,4;7846
2016;pomorskie;PL2202;strefa pomorska;PmMalMicki15;PM10;24g;22,7;5,0;78,0;361
2016;pomorskie;PL2202;strefa pomorska;PmSlupKniazi;PM10;1g;19,4;1,0;174,0;7761
2016;pomorskie;PL2202;strefa pomorska;PmSlupKniazi;PM10;24g;19,2;1,0;70,0;333
2016;pomorskie;PL2201;Aglomeracja Trójmiejska;PmSopBitPl06;PM10;1g;16,7;1,0;249,0;8698
2016;pomorskie;PL2202;strefa pomorska;PmStaGdaLubi;PM10;1g;42,4;0,4;488,0;8726
2016;pomorskie;PL2202;strefa pomorska;PmTczeTarg07;PM10;1g;20,0;0,6;287,4;8664
2016;pomorskie;PL2202;strefa pomorska;PmWejhPlWejh;PM10;24g;29,1;3,0;199,0;339
2016;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkBuskRokosz;PM10;24g;27,0;6,2;137,6;321
2016;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;PM10;1g;35,0;0,0;346,0;8229
2016;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;PM10;24g;32,8;6,0;128,6;336
2016;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielKusoci;PM10;24g;28,0;4,4;132,6;366
2016;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkMalo11List;PM10;1g;27,4;1,6;277,6;8681
2016;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkNowiParkow;PM10;1g;34,6;0,0;330,7;8664
2016;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkOzarOsWzgo;PM10;24g;19,9;1,0;136,0;335
2016;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkPolaRuszcz;PM10;1g;29,7;1,7;326,6;8542
2016;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkStaraZlota;PM10;24g;29,0;8,2;122,6;348
2016;œl¹skie;PL2403;miasto Bielsko-Bia³a;SlBielKossak;PM10;1g;35,8;4,1;381,7;8720
2016;œl¹skie;PL2403;miasto Bielsko-Bia³a;SlBielKossak;PM10;24g;35,9;10,6;247,3;354
2016;œl¹skie;PL2405;strefa œl¹ska;SlCiesMickie;PM10;1g;30,0;1,1;377,6;8652
2016;œl¹skie;PL2405;strefa œl¹ska;SlCiesMickie;PM10;24g;30,2;8,2;168,9;354
2016;œl¹skie;PL2404;miasto Czêstochowa;SlCzestoArmK;PM10;1g;39,7;4,0;398,5;8746
2016;œl¹skie;PL2404;miasto Czêstochowa;SlCzestoBacz;PM10;1g;30,9;3,4;309,9;8687
2016;œl¹skie;PL2404;miasto Czêstochowa;SlCzestoBacz;PM10;24g;30,3;10,0;174,7;346
2016;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlDabro1000L;PM10;1g;38,8;3,8;445,4;8717
2016;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlDabro1000L;PM10;24g;38,4;11,0;182,1;358
2016;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;PM10;1g;46,1;6,9;445,1;8725
2016;œl¹skie;PL2405;strefa œl¹ska;SlGodGliniki;PM10;24g;42,3;9,0;211,1;358
2016;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;PM10;1g;38,6;6,4;321,8;8637
2016;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;PM10;24g;37,8;13,1;191,7;357
2016;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoPlebA4;PM10;24g;46,9;13,5;164,0;331
2016;œl¹skie;PL2405;strefa œl¹ska;SlKnurJedNar;PM10;24g;41,9;9,5;246,8;360
2016;œl¹skie;PL2405;strefa œl¹ska;SlLublPiasko;PM10;24g;35,7;7,5;177,5;329
2016;œl¹skie;PL2405;strefa œl¹ska;SlMyszMiedzi;PM10;24g;47,8;7,9;290,5;356
2016;œl¹skie;PL2405;strefa œl¹ska;SlPszczBoged;PM10;24g;50,9;4,2;423,1;349
2016;œl¹skie;PL2402;Aglomeracja Rybnicko-Jastrzêbska;SlRybniBorki;PM10;1g;48,2;3,2;943,6;8703
2016;œl¹skie;PL2402;Aglomeracja Rybnicko-Jastrzêbska;SlRybniBorki;PM10;24g;47,5;11,0;287,9;362
2016;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlSosnoLubel;PM10;1g;36,1;3,3;408,0;8772
2016;œl¹skie;PL2405;strefa œl¹ska;SlTarnoLitew;PM10;24g;37,9;9,4;178,6;363
2016;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlTychyTolst;PM10;1g;35,9;3,3;520,0;8700
2016;œl¹skie;PL2405;strefa œl¹ska;SlUstronSana;PM10;1g;23,0;0,9;299,5;8714
2016;œl¹skie;PL2405;strefa œl¹ska;SlWodzGalczy;PM10;1g;47,2;4,5;751,1;8742
2016;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlZabSkloCur;PM10;1g;43,2;0,1;571,8;8487
2016;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlZabSkloCur;PM10;24g;42,9;6,8;213,8;334
2016;œl¹skie;PL2405;strefa œl¹ska;SlZawSkloCur;PM10;24g;34,8;7,8;177,4;333
