"id_transakcji"	"id_klienta"	"id_asortymentu"	"ilosc"	"data_transakcji"
"F/TR/88943706"	"NiDu5068"	"M"	8,43	2014-5-30 00:00:00
"F/TR/23418988"	"IrHa8257"	"O"	10,85	2014-1-26 00:00:00
"F/TR/89115671"	"UlKi16951"	"K"	5,54	2014-6-27 00:00:00
"F/TR/23329950"	"EdCh18697"	"EGS"	8,21	2014-5-5 00:00:00
"F/TR/74383069"	"MaSc7882"	"EG"	5,09	2013-2-17 00:00:00
"F/TR/80589941"	"swKu2523"	"EG"	4,28	2014-6-26 00:00:00
"F/TR/56748467"	"IlKo1116"	"EG"	10,30	2013-1-31 00:00:00
"F/TR/13843194"	"InCz7184"	"PE"	9,72	2013-4-22 00:00:00
"F/TR/30918198"	"Zesw16716"	"OO"	10,50	2013-5-10 00:00:00
"F/TR/45709683"	"StCz12784"	"OO"	6,92	2014-6-14 00:00:00
"F/TR/18724298"	"BlBo1609"	"EGE"	10,40	2014-12-1 00:00:00
"F/TR/73984150"	"BaSz5932"	"EGS"	5,94	2014-8-17 00:00:00
"F/TR/9248673"	"IwKa5339"	"EGS"	10,68	2013-12-20 00:00:00
"F/TR/92962595"	"swKa10336"	"EGS"	10,47	2013-7-11 00:00:00
"F/TR/92775661"	"WlKu15070"	"K"	8,20	2013-10-24 00:00:00
"F/TR/71811926"	"GaAm11795"	"O"	4,66	2014-3-1 00:00:00
"F/TR/54439442"	"BeGr9000"	"OO"	6,77	2014-7-30 00:00:00
"F/TR/19150562"	"zyKo18491"	"M"	3,08	2014-6-30 00:00:00
"F/TR/28767588"	"KiKl16032"	"M"	9,73	2013-4-20 00:00:00
"F/TR/93990327"	"KoRi6298"	"M"	3,70	2014-3-20 00:00:00
"F/TR/83942392"	"MaWi12603"	"PE"	3,11	2014-9-12 00:00:00
"F/TR/67785449"	"WrSz6274"	"M"	11,99	2014-10-22 00:00:00
"F/TR/58845162"	"JaWe2483"	"O"	3,99	2014-10-10 00:00:00
"F/TR/27480788"	"AtSl16374"	"EGS"	6,97	2013-2-11 00:00:00
"F/TR/59563972"	"KrRo7283"	"EG"	5,14	2014-7-18 00:00:00
"F/TR/76038166"	"FlSz15604"	"EG"	8,94	2013-5-28 00:00:00
"F/TR/74964780"	"CzSz5619"	"EG"	8,29	2014-2-9 00:00:00
"F/TR/78579453"	"LiMo3068"	"PE"	5,15	2013-2-2 00:00:00
"F/TR/79820952"	"AsJo14289"	"OO"	6,75	2014-10-27 00:00:00
"F/TR/72873807"	"HeNe19665"	"EGE"	1,17	2013-4-12 00:00:00
"F/TR/46905861"	"DaSz19425"	"EGS"	9,00	2014-10-21 00:00:00
"F/TR/23530159"	"AlCz1396"	"EGS"	6,12	2014-6-23 00:00:00
"F/TR/95003192"	"MiPe411"	"EGS"	11,30	2013-9-9 00:00:00
"F/TR/94248468"	"MiGu14173"	"K"	9,90	2014-10-5 00:00:00
"F/TR/42728625"	"GaKr18330"	"OO"	4,99	2013-1-9 00:00:00
"F/TR/62026202"	"KaBr11129"	"M"	2,13	2014-10-19 00:00:00
"F/TR/20248753"	"KaSk13785"	"M"	4,32	2013-12-22 00:00:00
"F/TR/18075551"	"PiCh1936"	"M"	1,25	2013-7-25 00:00:00
"F/TR/26844286"	"MaDi12388"	"PE"	9,49	2014-8-18 00:00:00
"F/TR/98468393"	"OtSk628"	"M"	11,88	2013-9-24 00:00:00
"F/TR/99966747"	"ZbKl14288"	"O"	11,04	2014-6-1 00:00:00
"F/TR/33323310"	"BaOg12515"	"K"	11,11	2014-8-4 00:00:00
"F/TR/54691486"	"MsPo16165"	"EGS"	2,83	2014-2-27 00:00:00
"F/TR/16377086"	"IdSz14509"	"EG"	7,53	2013-3-1 00:00:00
"F/TR/6584784"	"MaSo11952"	"PE"	6,60	2013-7-28 00:00:00
"F/TR/73439043"	"KaBe16332"	"OO"	2,07	2013-4-18 00:00:00
"F/TR/89079463"	"AmBo14777"	"OO"	6,00	2013-6-14 00:00:00
"F/TR/66869038"	"WaRa2411"	"EGE"	7,96	2013-8-30 00:00:00
"F/TR/67764199"	"EdCh18697"	"EGS"	4,69	2014-2-6 00:00:00
"F/TR/10061247"	"MiGo19030"	"EGS"	1,39	2014-3-16 00:00:00
"F/TR/78891147"	"DaSt4844"	"K"	11,22	2014-3-22 00:00:00
"F/TR/66948569"	"DoPo8369"	"O"	10,74	2013-2-8 00:00:00
"F/TR/72608803"	"SiWa17262"	"OO"	4,57	2013-1-24 00:00:00
"F/TR/67586641"	"PrSl12952"	"M"	8,84	2013-3-2 00:00:00
"F/TR/10062217"	"FiRu7037"	"M"	6,89	2013-8-31 00:00:00
"F/TR/65680570"	"WrSi14335"	"M"	1,69	2014-7-8 00:00:00
"F/TR/24667485"	"LeIn610"	"PE"	6,87	2014-11-27 00:00:00
"F/TR/19571431"	"Absw5467"	"M"	5,03	2013-12-19 00:00:00
"F/TR/46310606"	"AdRa11043"	"O"	4,61	2013-3-12 00:00:00
"F/TR/54702372"	"KaNa8465"	"K"	7,82	2014-8-9 00:00:00
"F/TR/59067490"	"LiLi9847"	"EGS"	6,33	2013-6-30 00:00:00
"F/TR/82732349"	"HeFa1178"	"EG"	7,50	2013-12-9 00:00:00
"F/TR/1202234"	"CeKo8224"	"EG"	11,41	2013-3-8 00:00:00
"F/TR/77437914"	"NiFo13805"	"PE"	3,26	2014-9-6 00:00:00
"F/TR/2620529"	"MiGa4218"	"OO"	5,94	2013-6-24 00:00:00
"F/TR/7131107"	"LeDr18756"	"OO"	9,22	2013-3-23 00:00:00
"F/TR/62005644"	"WiMu17922"	"EGE"	2,92	2014-7-16 00:00:00
"F/TR/46470842"	"SyRa7166"	"EGS"	4,27	2014-6-28 00:00:00
"F/TR/23094500"	"OkWi14550"	"EGS"	4,84	2014-11-23 00:00:00
"F/TR/47966164"	"InGi18566"	"EGS"	3,96	2014-8-7 00:00:00
"F/TR/55942494"	"OkWi14550"	"K"	3,92	2014-1-24 00:00:00
"F/TR/62455232"	"AgSz2024"	"O"	11,09	2014-6-2 00:00:00
"F/TR/1635318"	"IrMa5070"	"OO"	10,86	2014-11-6 00:00:00
"F/TR/36443365"	"SeCh5305"	"M"	2,99	2014-11-11 00:00:00
"F/TR/12485674"	"LiFr5452"	"M"	4,60	2014-9-15 00:00:00
"F/TR/88963113"	"BaKa10356"	"M"	3,60	2014-3-6 00:00:00
"F/TR/30025755"	"KuSt3118"	"PE"	5,21	2013-9-19 00:00:00
"F/TR/69052311"	"laSa6551"	"M"	11,82	2013-9-5 00:00:00
"F/TR/85291563"	"MaSz6178"	"O"	7,42	2013-9-12 00:00:00
"F/TR/1569377"	"EwKo11406"	"K"	6,04	2013-4-16 00:00:00
"F/TR/4359846"	"PoSk4216"	"EGS"	4,29	2013-8-1 00:00:00
"F/TR/20673568"	"MaBi3471"	"EG"	6,39	2014-2-22 00:00:00
"F/TR/69063965"	"BaSz5932"	"EG"	8,82	2014-7-7 00:00:00
"F/TR/71895468"	"ArZi173"	"EG"	10,27	2013-3-2 00:00:00
"F/TR/78662324"	"SzRe570"	"PE"	11,80	2013-6-27 00:00:00
"F/TR/68532689"	"MaKo14464"	"OO"	5,76	2013-1-28 00:00:00
"F/TR/51632800"	"SiWa17262"	"OO"	7,49	2013-11-29 00:00:00
"F/TR/38210616"	"HuWi12944"	"EGE"	5,97	2013-7-21 00:00:00
"F/TR/27316109"	"JoSz6210"	"EGS"	3,18	2014-9-6 00:00:00
"F/TR/95727440"	"KoHa9730"	"EGS"	9,01	2013-7-3 00:00:00
"F/TR/44594636"	"GrOs3132"	"EGS"	10,84	2014-1-8 00:00:00
"F/TR/29797220"	"EgCh4304"	"K"	6,22	2013-2-27 00:00:00
"F/TR/70511369"	"KwBr19898"	"O"	9,44	2013-10-28 00:00:00
"F/TR/30485848"	"WsKr5176"	"OO"	6,43	2013-9-6 00:00:00
"F/TR/59115548"	"DiRy10656"	"M"	6,08	2014-5-15 00:00:00
"F/TR/82048541"	"DeFi18450"	"M"	7,48	2013-6-8 00:00:00
"F/TR/73489556"	"UrOk10639"	"M"	6,46	2013-4-21 00:00:00
"F/TR/92649947"	"PrKu9415"	"PE"	9,67	2013-8-18 00:00:00
"F/TR/82890572"	"MsNi9653"	"M"	3,01	2014-7-28 00:00:00
"F/TR/8741407"	"BeGr6449"	"O"	1,93	2013-9-4 00:00:00
"F/TR/62948403"	"IfSz17624"	"K"	8,12	2014-6-8 00:00:00
"F/TR/36820365"	"SyRa7166"	"EGS"	2,89	2013-9-21 00:00:00
"F/TR/12635298"	"DaDy18749"	"EG"	8,32	2013-1-25 00:00:00
"F/TR/57140782"	"FlSz15604"	"EG"	9,42	2014-4-23 00:00:00
"F/TR/18860982"	"MiKo9829"	"EG"	9,90	2014-4-30 00:00:00
"F/TR/80791164"	"RuRz10747"	"OO"	7,12	2013-11-13 00:00:00
"F/TR/44998257"	"ApHu13265"	"OO"	1,77	2014-10-2 00:00:00
"F/TR/59232034"	"FaKo15533"	"EGE"	5,65	2014-3-31 00:00:00
"F/TR/66007924"	"lezy5175"	"EGS"	9,65	2013-7-11 00:00:00
"F/TR/34646133"	"TeKu7790"	"EGS"	9,08	2013-12-7 00:00:00
"F/TR/84867174"	"TyCh2190"	"K"	9,62	2014-11-18 00:00:00
"F/TR/95123104"	"GeSw11750"	"OO"	7,18	2013-3-8 00:00:00
"F/TR/4850407"	"SiPl2714"	"M"	3,27	2013-9-25 00:00:00
"F/TR/6427926"	"KiKl16032"	"M"	8,53	2014-1-13 00:00:00
"F/TR/17486017"	"DaPa18210"	"M"	3,04	2013-5-17 00:00:00
"F/TR/13288903"	"WiGr18300"	"PE"	3,77	2013-4-18 00:00:00
"F/TR/47257218"	"EdKr13808"	"M"	6,54	2013-8-23 00:00:00
"F/TR/41253116"	"WlFl11057"	"O"	1,03	2013-9-25 00:00:00
"F/TR/68459316"	"ToRu7210"	"K"	7,96	2013-6-10 00:00:00
"F/TR/39087661"	"SlSm1721"	"EGS"	2,51	2013-8-3 00:00:00
"F/TR/60546582"	"AdBr3700"	"EG"	10,99	2013-3-27 00:00:00
"F/TR/32377486"	"PaMy7800"	"EG"	8,56	2013-12-11 00:00:00
"F/TR/30835911"	"BoBo12721"	"EG"	9,22	2013-12-28 00:00:00
"F/TR/36178529"	"DoPi17354"	"PE"	1,01	2014-6-18 00:00:00
"F/TR/6280875"	"OdSc18060"	"OO"	6,61	2014-7-23 00:00:00
"F/TR/51029023"	"BiSi18663"	"OO"	5,80	2014-5-4 00:00:00
"F/TR/40855604"	"BoGa14493"	"EGE"	2,18	2014-1-24 00:00:00
"F/TR/85368852"	"DoJa4090"	"EGS"	10,40	2013-10-8 00:00:00
"F/TR/7816177"	"CyWa10527"	"EGS"	9,84	2013-2-8 00:00:00
"F/TR/50149248"	"JoOr16525"	"K"	8,06	2014-7-17 00:00:00
"F/TR/82278452"	"SySz7231"	"OO"	2,30	2013-11-21 00:00:00
"F/TR/13368688"	"SyGl9833"	"M"	6,00	2014-7-8 00:00:00
"F/TR/64738553"	"GrSz10949"	"M"	1,84	2013-5-18 00:00:00
"F/TR/145564"	"AlSz3923"	"M"	8,84	2014-2-22 00:00:00
"F/TR/20859244"	"IrMa5070"	"PE"	5,23	2014-5-12 00:00:00
"F/TR/46345963"	"AnMu13151"	"M"	8,89	2014-5-21 00:00:00
"F/TR/71830873"	"KsCh13208"	"O"	10,41	2014-11-29 00:00:00
"F/TR/19198054"	"UrOk10639"	"EGS"	11,18	2014-5-27 00:00:00
"F/TR/83247337"	"MiHa3476"	"EG"	5,41	2014-3-8 00:00:00
"F/TR/45206380"	"AdSe19548"	"EG"	4,94	2013-10-2 00:00:00
"F/TR/62730383"	"DyGo4971"	"EG"	9,09	2014-11-11 00:00:00
"F/TR/54097844"	"IlKu1274"	"PE"	2,04	2014-2-6 00:00:00
"F/TR/74002501"	"MiNi5855"	"OO"	1,05	2014-1-30 00:00:00
"F/TR/37420287"	"WaZa10634"	"OO"	4,98	2013-4-26 00:00:00
"F/TR/34479812"	"IlBi15071"	"EGE"	4,64	2013-10-14 00:00:00
"F/TR/92790400"	"TyGl9218"	"EGS"	2,22	2013-11-24 00:00:00
"F/TR/47724470"	"BuGe11368"	"EGS"	7,20	2014-4-10 00:00:00
"F/TR/18919890"	"CyWa10527"	"EGS"	4,77	2014-7-13 00:00:00
"F/TR/87082817"	"DrNi16103"	"K"	1,35	2014-2-6 00:00:00
"F/TR/82398458"	"LeMu3544"	"O"	6,98	2014-5-19 00:00:00
"F/TR/99674590"	"OtKa1054"	"OO"	2,24	2014-3-2 00:00:00
"F/TR/10920513"	"SiBa16966"	"M"	11,46	2014-1-10 00:00:00
"F/TR/26133463"	"GeMa19363"	"M"	1,16	2014-2-18 00:00:00
"F/TR/83847326"	"ZoMe946"	"M"	1,11	2013-7-12 00:00:00
"F/TR/18122681"	"KaHa15995"	"PE"	2,06	2013-2-26 00:00:00
"F/TR/46098031"	"WrRo7615"	"M"	1,56	2013-3-11 00:00:00
"F/TR/29571939"	"WiPr19246"	"K"	2,28	2014-11-28 00:00:00
"F/TR/38084089"	"AtCe6857"	"EGS"	5,74	2014-3-22 00:00:00
"F/TR/70755444"	"PuSi19760"	"EG"	1,03	2014-1-31 00:00:00
"F/TR/43177647"	"LiGe16426"	"EG"	8,06	2013-3-29 00:00:00
"F/TR/66892472"	"EuTa1374"	"EG"	5,15	2014-2-16 00:00:00
"F/TR/71413218"	"FiZa7972"	"PE"	6,20	2014-7-13 00:00:00
"F/TR/37025164"	"WiDo6473"	"OO"	11,22	2013-2-26 00:00:00
"F/TR/75019087"	"RaAw17700"	"OO"	2,69	2013-1-18 00:00:00
"F/TR/15932553"	"CiGr590"	"EGE"	4,24	2014-8-18 00:00:00
"F/TR/63266869"	"AnSa13219"	"EGS"	10,76	2014-7-3 00:00:00
"F/TR/68006622"	"ApHu13265"	"EGS"	2,37	2013-11-2 00:00:00
"F/TR/59437702"	"DoPo8369"	"EGS"	7,98	2013-2-11 00:00:00
"F/TR/66494076"	"KoKi19185"	"K"	10,18	2014-7-27 00:00:00
"F/TR/46488552"	"LaDo17101"	"O"	11,69	2013-11-2 00:00:00
"F/TR/75835691"	"JoSc14220"	"OO"	3,04	2013-1-24 00:00:00
"F/TR/8473420"	"SaMu6964"	"M"	9,44	2013-8-4 00:00:00
"F/TR/22848293"	"SeBi3417"	"M"	7,71	2013-3-20 00:00:00
"F/TR/89325122"	"DoLi19178"	"M"	2,58	2014-6-23 00:00:00
"F/TR/79895852"	"MiKr19963"	"PE"	2,89	2014-3-8 00:00:00
"F/TR/60902082"	"EwGa15156"	"M"	5,82	2013-6-7 00:00:00
"F/TR/45228158"	"GaBu921"	"O"	2,80	2013-4-5 00:00:00
"F/TR/87983588"	"SiKr16020"	"K"	8,05	2014-6-8 00:00:00
"F/TR/69326091"	"ArMr10482"	"EGS"	4,34	2014-8-9 00:00:00
"F/TR/84387468"	"PaDw10732"	"EG"	2,29	2013-11-12 00:00:00
"F/TR/38799725"	"WsMa17721"	"EG"	2,98	2013-4-30 00:00:00
"F/TR/29036330"	"DaBr10531"	"EG"	1,75	2014-9-8 00:00:00
"F/TR/63499265"	"AtCe6857"	"PE"	8,41	2013-6-3 00:00:00
"F/TR/6863668"	"LePr10848"	"OO"	4,40	2014-3-4 00:00:00
"F/TR/1579037"	"FlDo11389"	"OO"	2,77	2013-3-25 00:00:00
"F/TR/15118824"	"HeWo17263"	"EGE"	10,89	2013-5-25 00:00:00
"F/TR/23403121"	"DzWa17703"	"EGS"	10,51	2013-7-29 00:00:00
"F/TR/33723222"	"RaKo133"	"EGS"	9,15	2013-3-4 00:00:00
"F/TR/66939406"	"OtZa10728"	"EGS"	3,64	2014-10-16 00:00:00
"F/TR/34666833"	"WiKo9817"	"K"	11,13	2013-9-30 00:00:00
"F/TR/76896852"	"DaPa18210"	"O"	2,91	2014-8-31 00:00:00
"F/TR/34815391"	"GeSk15854"	"OO"	5,49	2013-6-18 00:00:00
"F/TR/88496056"	"TyTe8204"	"M"	7,95	2013-12-26 00:00:00
"F/TR/13958049"	"ToKa5522"	"M"	3,10	2014-10-8 00:00:00
"F/TR/12221367"	"DoAb4026"	"M"	6,61	2013-8-1 00:00:00
"F/TR/55297785"	"CeKa19305"	"PE"	4,04	2013-3-4 00:00:00
"F/TR/60522043"	"SaWa8080"	"M"	4,73	2013-4-19 00:00:00
"F/TR/75548952"	"DoKo33"	"O"	4,46	2014-7-21 00:00:00
"F/TR/1531557"	"PaBa1898"	"K"	4,77	2013-2-3 00:00:00
"F/TR/38501020"	"KrRo7283"	"EGS"	3,62	2014-4-20 00:00:00
"F/TR/85808786"	"RoBo18630"	"EG"	8,72	2014-11-16 00:00:00
"F/TR/11213631"	"BoKi15489"	"EG"	6,56	2013-1-28 00:00:00
"F/TR/41123694"	"WlZa6019"	"PE"	1,19	2014-2-6 00:00:00
"F/TR/11891789"	"DeKu6980"	"OO"	3,20	2013-9-19 00:00:00
"F/TR/75864978"	"TaPr14674"	"OO"	10,68	2013-7-20 00:00:00
"F/TR/88941037"	"WiMy8747"	"EGE"	4,19	2013-12-4 00:00:00
"F/TR/22855352"	"SuPi2412"	"EGS"	3,53	2014-2-11 00:00:00
"F/TR/51794117"	"GoTr19384"	"EGS"	5,41	2014-3-6 00:00:00
"F/TR/42332508"	"Sysw3692"	"EGS"	8,79	2013-2-10 00:00:00
"F/TR/31202021"	"DoKs6978"	"O"	4,98	2014-4-9 00:00:00
"F/TR/75504063"	"RyPa13981"	"OO"	5,97	2013-6-23 00:00:00
"F/TR/57229215"	"UlBa5212"	"M"	10,38	2013-7-8 00:00:00
"F/TR/20248167"	"KuGa5387"	"M"	8,53	2014-8-15 00:00:00
"F/TR/54936263"	"MiCy5857"	"M"	8,19	2013-2-14 00:00:00
"F/TR/96131011"	"MaSz2931"	"PE"	8,04	2014-2-22 00:00:00
"F/TR/46322305"	"DoHo4441"	"M"	10,98	2013-6-27 00:00:00
"F/TR/9231115"	"BaKo7857"	"O"	3,09	2013-8-13 00:00:00
"F/TR/31372529"	"DoAj7506"	"K"	11,80	2014-5-19 00:00:00
"F/TR/12297092"	"ErSc19590"	"EGS"	3,89	2014-11-22 00:00:00
"F/TR/27496195"	"JaHe4290"	"EG"	6,67	2013-12-1 00:00:00
"F/TR/90039737"	"OdNi15209"	"EG"	11,21	2013-8-9 00:00:00
"F/TR/80870240"	"CzCh15621"	"EG"	10,12	2014-3-20 00:00:00
"F/TR/97352473"	"NiSz9526"	"PE"	3,26	2013-7-11 00:00:00
"F/TR/93475578"	"HeFr4801"	"OO"	3,24	2014-5-28 00:00:00
"F/TR/27060158"	"DaMa6623"	"OO"	2,50	2013-12-2 00:00:00
"F/TR/70295688"	"SeBi3417"	"EGE"	3,15	2014-7-2 00:00:00
"F/TR/72717754"	"DoAj7506"	"EGS"	2,26	2014-6-13 00:00:00
"F/TR/5976818"	"IsPo2558"	"EGS"	11,92	2013-1-16 00:00:00
"F/TR/70836156"	"BoCz18797"	"EGS"	6,13	2014-5-16 00:00:00
"F/TR/1859322"	"KaBr11129"	"K"	4,73	2014-4-5 00:00:00
"F/TR/65912973"	"RoBo17051"	"O"	4,48	2013-6-11 00:00:00
"F/TR/48686860"	"BuGe11368"	"OO"	7,84	2013-10-21 00:00:00
"F/TR/10054999"	"ArOp14241"	"M"	6,47	2014-4-21 00:00:00
"F/TR/31414132"	"WrSi14335"	"M"	11,11	2013-2-10 00:00:00
"F/TR/7799455"	"KaSz19370"	"M"	2,97	2013-3-1 00:00:00
"F/TR/58994016"	"BeGe19302"	"PE"	4,85	2014-8-20 00:00:00
"F/TR/6740404"	"NoBi2140"	"M"	7,94	2013-6-25 00:00:00
"F/TR/15467066"	"SiSz10748"	"O"	6,91	2014-5-11 00:00:00
"F/TR/19481791"	"BrSu3409"	"K"	3,96	2013-5-30 00:00:00
"F/TR/99202833"	"EuSp8197"	"EGS"	4,39	2014-5-29 00:00:00
"F/TR/55506440"	"ZdSt1299"	"EG"	2,98	2014-1-5 00:00:00
"F/TR/65512750"	"Zesw16716"	"EG"	7,16	2013-7-11 00:00:00
"F/TR/52134929"	"AnBo8690"	"PE"	4,42	2014-6-16 00:00:00
"F/TR/10057338"	"SuKo1272"	"OO"	8,03	2014-8-23 00:00:00
"F/TR/57498087"	"DiAj2020"	"OO"	9,03	2014-6-1 00:00:00
"F/TR/4150188"	"MaKo6250"	"EGE"	6,26	2014-2-22 00:00:00
"F/TR/62387936"	"AdBu6843"	"EGS"	5,79	2013-10-14 00:00:00
"F/TR/79949977"	"HiCz19521"	"EGS"	10,27	2013-3-17 00:00:00
"F/TR/82021199"	"ZiCz7188"	"K"	1,13	2013-4-10 00:00:00
"F/TR/72709719"	"KoKa16220"	"O"	1,10	2013-1-26 00:00:00
"F/TR/51845335"	"MeRa13737"	"OO"	9,72	2014-3-16 00:00:00
"F/TR/20509975"	"EnPr153"	"M"	8,96	2014-3-7 00:00:00
"F/TR/92526822"	"HiCh13814"	"M"	4,93	2013-5-16 00:00:00
"F/TR/38229095"	"StWa17073"	"M"	4,35	2014-5-11 00:00:00
"F/TR/50891125"	"ItGu19816"	"M"	10,66	2014-6-11 00:00:00
"F/TR/6362337"	"ErSc19590"	"O"	4,83	2014-7-17 00:00:00
"F/TR/16866325"	"SaWe12929"	"K"	2,48	2014-3-16 00:00:00
"F/TR/66605738"	"SaWa8080"	"EGS"	9,54	2013-11-27 00:00:00
"F/TR/13243408"	"PaMy7800"	"EG"	7,35	2013-5-22 00:00:00
"F/TR/53664125"	"OlUr11204"	"EG"	10,09	2014-8-20 00:00:00
"F/TR/34457389"	"RoSz15470"	"PE"	8,87	2014-3-20 00:00:00
"F/TR/98717902"	"lezy5175"	"OO"	11,56	2014-7-17 00:00:00
"F/TR/53111922"	"ElMu2958"	"OO"	7,37	2014-11-8 00:00:00
