"id_us"	"nazwa_us"
468	"Urzad Skarbowy w Rypinie"
469	"Urzad Skarbowy we Wloclawku"
471	"Urzad Skarbowy Wroclaw-Fabryczna"
472	"Urzad Skarbowy Wroclaw-Krzyki"
473	"Urzad Skarbowy Wroclaw-Psie Pole"
474	"Urzad Skarbowy Wroclaw-Stare Miasto"
475	"Pierwszy Urzad Skarbowy we Wroclawiu"
476	"Drugi Urzad Skarbowy Wroclaw-srodmiescie"
477	"Urzad Skarbowy w Miliczu"
478	"Urzad Skarbowy w Olesnicy"
479	"Urzad Skarbowy w Olawie"
481	"Urzad Skarbowy w Strzelnie"
482	"Urzad Skarbowy w srodzie slaskiej"
483	"Urzad Skarbowy w Trzebnicy"
484	"Urzad Skarbowy w Bilgoraju"
485	"Urzad Skarbowy w Hrubieszowie"
486	"Urzad Skarbowy w Tomaszowie Lubelskim"
487	"Urzad Skarbowy w Zamosciu"
488	"Urzad Skarbowy w Krosnie Odrzanskim"
489	"Urzad Skarbowy w Nowej Soli"
491	"Urzad Skarbowy w swiebodzinie"
492	"Urzad Skarbowy w Wolsztynie"
493	"Pierwszy Urzad Skarbowy w Zielonej Gorze"
494	"Urzad Skarbowy w zaganiu"
495	"Urzad Skarbowy w zarach"
496	"Urzad Skarbowy w losicach"
497	"Urzad Skarbowy w losicach"
498	"Urzad Skarbowy w Piekarach slaskich"
499	"Drugi Urzad Skarbowy w Koszalinie"
501	"Urzad Skarbowy W Gorze"
502	"Urzad Skarbowy W Polkowicach"
503	"Urzad Skarbowy W Golubiu-Dobrzyniu"
504	"Urzad Skarbowy W Sepolnie Krajenskim"
505	"Urzad Skarbowy W lecznej"
506	"Urzad Skarbowy W Rykach"
507	"Urzad Skarbowy W leczycy"
508	"Urzad Skarbowy W Pajecznie"
509	"Urzad Skarbowy W Lipsku"
511	"Urzad Skarbowy w zurominie"
512	"Urzad Skarbowy w zurominie"
513	"Urzad Skarbowy w Lesznie"
514	"Urzad Skarbowy w Ostrzeszowie"
516	"Urzad Skarbowy w Ostrzeszowie"
519	"Urzad Skarbowy w Legionowie"
521	"Urzad Skarbowy Warszawa-Mokotow"
522	"Urzad Skarbowy Warszawa-Bemowo"
523	"Urzad Skarbowy Warszawa-Praga"
524	"Urzad Skarbowy Warszawa-Targowek"
525	"Pierwszy Urzad Skarbowy Warszawa-srodmiescie"
526	"Drugi Urzad Skarbowy Warszawa-srodmiescie"
527	"Urzad Skarbowy Warszawa-Wola"
528	"Urzad Skarbowy Warszawa-Bielany"
529	"Urzad Skarbowy w Grodzisku Mazowieckim"
531	"Urzad Skarbowy w Nowym Dworze Mazowieckim"
532	"Urzad Skarbowy w Otwocku"
533	"Urzad Skarbowy w Piasecznie"
534	"Urzad Skarbowy w Pruszkowie"
535	"Urzad Skarbowy w Wolominie"
536	"Urzad Skarbowy w Legionowie"
537	"Urzad Skarbowy w Bialej Podlaskiej"
538	"Urzad Skarbowy w Radzyniu Podlaskim"
539	"Urzad Skarbowy w Parczewie"
541	"Filia US w Bialej Podlaskiej/losice"
542	"Pierwszy Urzad Skarbowy w Bialymstoku"
543	"Urzad Skarbowy w Bielsku Podlaskim"
544	"Urzad Skarbowy w Siemiatyczach"
545	"Urzad Skarbowy w Sokolce"
546	"Urzad Skarbowy w Monkach"
547	"Pierwszy Urzad Skarbowy w Bielsku-Bialej"
548	"Urzad Skarbowy w Cieszynie"
549	"Urzad Skarbowy w Oswiecimiu"
551	"Urzad Skarbowy w Wadowicach"
552	"Urzad Skarbowy w Suchej Beskidzkiej"
553	"Urzad Skarbowy w zywcu"
554	"Pierwszy Urzad Skarbowy w Bydgoszczy"
555	"Urzad Skarbowy w Chojnicach"
556	"Urzad Skarbowy w Inowroclawiu"
557	"Urzad Skarbowy w Mogilnie"
558	"Urzad Skarbowy w Nakle nad Notecia"
559	"Urzad Skarbowy w swieciu"
561	"Urzad Skarbowy w Tucholi"
562	"Urzad Skarbowy w zninie"
563	"Urzad Skarbowy w Chelmie"
564	"Urzad Skarbowy w Krasnymstawie"
565	"Urzad Skarbowy we Wlodawie"
566	"Urzad Skarbowy w Ciechanowie"
567	"Urzad Skarbowy w Plonsku"
568	"Urzad Skarbowy w Pultusku"
569	"Urzad Skarbowy w Mlawie"
571	"Urzad Skarbowy w Dzialdowie"
572	"Filia US w Mlawie/zuromin"
573	"Pierwszy Urzad Skarbowy w Czestochowie"
574	"Urzad Skarbowy w Klobucku"
575	"Urzad Skarbowy w Lublincu"
576	"Urzad Skarbowy w Olesnie"
577	"Urzad Skarbowy w Myszkowie"
578	"Urzad Skarbowy w Elblagu"
579	"Urzad Skarbowy w Malborku"
581	"Urzad Skarbowy w Kwidzynie"
582	"Urzad Skarbowy w Braniewie"
583	"Pierwszy Urzad Skarbowy w Gdansku"
584	"Drugi Urzad Skarbowy w Gdansku"
585	"Urzad Skarbowy w Sopocie"
586	"Pierwszy Urzad Skarbowy w Gdyni"
587	"Urzad Skarbowy w Pucku"
588	"Urzad Skarbowy w Wejherowie"
589	"Urzad Skarbowy w Kartuzach"
591	"Urzad Skarbowy w Koscierzynie"
592	"Urzad Skarbowy w Starogardzie Gdanskim"
593	"Urzad Skarbowy w Tczewie"
594	"Urzad Skarbowy w Choszcznie"
595	"Urzad Skarbowy w Miedzychodzie"
596	"Urzad Skarbowy w Miedzyrzeczu"
597	"Urzad Skarbowy w Mysliborzu"
598	"Urzad Skarbowy w Slubicach"
599	"Urzad Skarbowy w Gorzowie Wielkopolskim"
601	"Urzad Skarbowy w Przysusze"
602	"Urzad Skarbowy w Nisku"
603	"Urzad Skarbowy w Hajnowce"
604	"Urzad Skarbowy w Pruszczu Gdanskim"
605	"Urzad Skarbowy w Kazimierzy Wielkiej"
606	"Urzad Skarbowy w Obornikach"
607	"Urzad Skarbowy w Chodziezy"
608	"Urzad Skarbowy w Pleszewie"
609	"Urzad Skarbowy we Wloszczowie"
611	"Urzad Skarbowy w Jeleniej-Gorze"
612	"Urzad Skarbowy w Boleslawcu"
613	"Urzad Skarbowy w Lubaniu"
614	"Urzad Skarbowy w Kamiennej-Gorze"
615	"Urzad Skarbowy w Zgorzelcu"
616	"Urzad Skarbowy w Lwowku sLaskim"
617	"Urzad Skarbowy w Jarocinie"
618	"Pierwszy Urzad Skarbowy w Kaliszu"
619	"Urzad Skarbowy w Kepnie"
621	"Urzad Skarbowy w Krotoszynie"
622	"Urzad Skarbowy w Ostrowie Wielkopolskim"
623	"Urzad Skarbowy w Piekarach slaskich"
624	"Drugi Urzad Skarbowy w Koszalinie"
625	"Urzad Skarbowy w Bedzinie"
626	"Urzad Skarbowy w Bytomiu"
627	"Urzad Skarbowy w Chorzowie"
628	"Urzad Skarbowy w Chrzanowie"
629	"Urzad Skarbowy w Dabrowie Gorniczej"
631	"Pierwszy Urzad Skarbowy w Gliwicach"
632	"Urzad Skarbowy w Jaworznie"
633	"Urzad Skarbowy w Jastrzebiu-Zdroju"
634	"Pierwszy Urzad Skarbowy w Katowicach"
635	"Urzad Skarbowy w Mikolowie"
636	"Urzad Skarbowy w Myslowicach"
637	"Urzad Skarbowy w Olkuszu"
638	"Urzad Skarbowy w Pszczynie"
639	"Urzad Skarbowy w Raciborzu"
641	"Urzad Skarbowy w Rudzie slaskiej"
642	"Urzad Skarbowy w Rybniku"
643	"Urzad Skarbowy w Siemianowicach slaskich"
644	"Urzad Skarbowy w Sosnowcu"
645	"Urzad Skarbowy w Tarnowskich Gorach"
646	"Urzad Skarbowy w Tychach"
647	"Urzad Skarbowy w Wodzislawiu slaskim"
648	"Urzad Skarbowy w Zabrzu"
649	"Urzad Skarbowy w Zawierciu"
651	"Urzad Skarbowy w zorach"
652	"Urzad Skarbowy w Czechowicach Dziedzicach"
653	"Urzad Skarbowy Tarnowskie Gory filia Piekary slaskie"
654	"Filia US w Bedzinie/Czeladz"
655	"Urzad Skarbowy w Busku-Zdroju"
656	"Urzad Skarbowy w Jedrzejowie"
657	"Pierwszy Urzad Skarbowy w Kielcach"
658	"Urzad Skarbowy w Konskich"
659	"Urzad Skarbowy w Miechowie"
661	"Urzad Skarbowy w Ostrowcu swietokrzyskim"
662	"Urzad Skarbowy w Pinczowie"
663	"Urzad Skarbowy w Skarzysku Kamiennej"
664	"Urzad Skarbowy w Starachowicach"
665	"Urzad Skarbowy w Koninie"
666	"Urzad Skarbowy w Kole"
667	"Urzad Skarbowy w Slupcy"
668	"Urzad Skarbowy w Turku"
669	"Pierwszy Urzad Skarbowy w Koszalinie"
671	"Urzad Skarbowy w Kolobrzegu"
672	"Urzad Skarbowy w Bialogardzie"
673	"Urzad Skarbowy w Szczecinku"
674	"Urzad Skarbowy w Drawsku Pomorskim"
675	"Urzad Skarbowy Krakow-srodmiescie"
676	"Urzad Skarbowy Krakow-Stare Miasto"
677	"Urzad Skarbowy Krakow-Krowodrza"
678	"Urzad Skarbowy Krakow-Nowa Huta"
679	"Urzad Skarbowy Krakow-Podgorze"
681	"Urzad Skarbowy w Myslenicach"
682	"Urzad Skarbowy w Proszowicach"
683	"Urzad Skarbowy w Wieliczce"
684	"Urzad Skarbowy w Krosnie"
685	"Urzad Skarbowy w Jasle"
686	"Urzad Skarbowy w Brzozowie"
687	"Urzad Skarbowy w Sanoku"
688	"Urzad Skarbowy w Lesku"
689	"Urzad Skarbowy w Ustrzykach Dolnych"
691	"Urzad Skarbowy w Legnicy"
692	"Urzad Skarbowy w Lubinie"
693	"Urzad Skarbowy w Glogowie"
694	"Urzad Skarbowy w Zlotoryi"
695	"Urzad Skarbowy w Jaworze"
696	"Urzad Skarbowy w Gostyniu"
697	"Urzad Skarbowy w Lesznie"
698	"Urzad Skarbowy w Koscianie"
699	"Urzad Skarbowy w Rawiczu"
701	"Trzeci Urzad Skarbowy Warszawa-srodmiescie"
711	"Urzad Skarbowy w Lesznie"
712	"Pierwszy Urzad Skarbowy w Lublinie"
713	"Drugi Urzad Skarbowy w Lublinie"
714	"Urzad Skarbowy w Lubartowie"
715	"Urzad Skarbowy w Krasniku"
716	"Urzad Skarbowy w Pulawach"
717	"Urzad Skarbowy w Opolu Lubelskim"
718	"Urzad Skarbowy w lomzy"
719	"Urzad Skarbowy w Grajewie"
721	"Urzad Skarbowy w Kolnie"
722	"Urzad Skarbowy w Wysokiem Mazowieckiem"
723	"Urzad Skarbowy w Zambrowie"
724	"Pierwszy Urzad Skarbowy lodz-srodmiescie"
725	"Urzad Skarbowy lodz-srodmiescie"
726	"Pierwszy Urzad Skarbowy lodz-Baluty"
727	"Urzad Skarbowy lodz-Polesie"
728	"Urzad Skarbowy lodz-Widzew"
729	"Pierwszy Urzad Skarbowy lodz-Gorna"
731	"Urzad Skarbowy w Pabianicach"
732	"Urzad Skarbowy w Zgierzu"
733	"Urzad Skarbowy w Glownie"
734	"Urzad Skarbowy w Nowym Saczu"
735	"Urzad Skarbowy w Nowym Targu"
736	"Urzad Skarbowy w Zakopanem"
737	"Urzad Skarbowy w Limanowej"
738	"Urzad Skarbowy w Gorlicach"
739	"Urzad Skarbowy w Olsztynie"
741	"Urzad Skarbowy w Ostrodzie"
742	"Urzad Skarbowy w Ketrzynie"
743	"Urzad Skarbowy w Bartoszycach"
744	"Urzad Skarbowy w Ilawie"
745	"Urzad Skarbowy w Szczytnie"
746	"Filia US w Szczytnie/Nidzica"
747	"Urzad Skarbowy w Brzegu"
748	"Urzad Skarbowy w Glubczycach"
749	"Urzad Skarbowy w Kedzierzynie-Kozlu"
751	"Urzad Skarbowy w Kluczborku"
752	"Urzad Skarbowy w Namyslowie"
753	"Urzad Skarbowy w Nysie"
754	"Pierwszy Urzad Skarbowy w Opolu"
755	"Urzad Skarbowy w Prudniku"
756	"Urzad Skarbowy w Strzelcach Opolskich"
757	"Urzad Skarbowy w Makowie Mazowieckim"
758	"Urzad Skarbowy w Ostrolece"
759	"Urzad Skarbowy w Ostrowi Mazowieckiej"
761	"Urzad Skarbowy w Przasnyszu"
762	"Urzad Skarbowy w Wyszkowie"
763	"Urzad Skarbowy w Czarnkowie"
764	"Urzad Skarbowy w Pile"
765	"Urzad Skarbowy w Walczu"
766	"Urzad Skarbowy w Wagrowcu"
767	"Urzad Skarbowy w Zlotowie"
768	"Urzad Skarbowy w Opocznie"
769	"Urzad Skarbowy w Belchatowie"
771	"Urzad Skarbowy w Piotrkowie Trybunalskim"
772	"Urzad Skarbowy w Radomsku"
773	"Urzad Skarbowy w Tomaszowie Mazowieckim"
774	"Urzad Skarbowy w Plocku"
775	"Urzad Skarbowy w Kutnie"
776	"Urzad Skarbowy w Sierpcu"
777	"Pierwszy Urzad Skarbowy Poznan"
778	"Urzad Skarbowy Poznan-srodmiescie"
779	"Urzad Skarbowy Poznan-Grunwald"
781	"Urzad Skarbowy Poznan-Jezyce"
