Id_oceny	Data	Id_ucznia	Id_przedmiotu	Ocena
224	2014-09-15	529/2013	1	3
225	2014-09-15	773/2014	9	4
226	2014-09-15	794/2014	3	5
227	2014-09-15	291/2012	15	4
228	2014-09-15	812/2014	4	3
229	2014-09-16	376/2012	4	6
230	2014-09-16	257/2011	3	3
231	2014-09-16	252/2011	4	2
232	2014-09-16	603/2013	1	5
233	2014-09-16	691/2013	2	5
234	2014-09-16	379/2012	2	5
235	2014-09-16	251/2011	3	2
236	2014-09-16	253/2011	27	2
237	2014-09-16	766/2014	10	2
238	2014-09-16	503/2012	1	3
239	2014-09-16	130/2011	4	2
240	2014-09-16	613/2013	21	4
241	2014-09-16	770/2014	15	4
242	2014-09-16	328/2012	15	5
243	2014-09-16	806/2014	14	5
244	2014-09-16	871/2014	13	2
245	2014-09-16	856/2014	7	4
246	2014-09-16	829/2014	3	4
247	2014-09-16	691/2013	1	4
248	2014-09-16	800/2014	14	4
249	2014-09-16	765/2014	13	6
250	2014-09-16	210/2011	1	2
251	2014-09-16	521/2013	1	5
252	2014-09-16	281/2012	3	4
253	2014-09-16	740/2014	8	3
254	2014-09-16	776/2014	4	3
255	2014-09-16	799/2014	17	6
256	2014-09-16	307/2012	5	2
257	2014-09-16	651/2013	22	3
258	2014-09-16	750/2014	3	4
259	2014-09-16	769/2014	5	2
260	2014-09-16	747/2014	9	5
261	2014-09-16	638/2013	1	4
262	2014-09-16	259/2011	25	2
263	2014-09-16	300/2012	3	6
264	2014-09-16	781/2014	5	3
265	2014-09-16	153/2011	2	2
266	2014-09-16	779/2014	3	4
267	2014-09-16	794/2014	11	1
268	2014-09-16	681/2013	1	6
269	2014-09-16	404/2012	24	5
270	2014-09-16	189/2011	1	2
271	2014-09-16	485/2012	4	4
272	2014-09-16	381/2012	3	1
273	2014-09-16	728/2014	4	2
274	2014-09-16	686/2013	2	3
275	2014-09-16	229/2011	3	5
276	2014-09-16	725/2014	13	3
277	2014-09-16	838/2014	7	4
278	2014-09-16	834/2014	4	2
279	2014-09-16	204/2011	3	6
280	2014-09-16	702/2014	19	1
281	2014-09-16	814/2014	4	2
282	2014-09-16	536/2013	22	3
283	2014-09-16	712/2014	12	4
284	2014-09-16	787/2014	9	3
285	2014-09-16	235/2011	2	6
286	2014-09-16	820/2014	12	5
287	2014-09-16	635/2013	3	4
288	2014-09-16	808/2014	4	3
289	2014-09-16	458/2012	3	5
290	2014-09-16	462/2012	10	3
291	2014-09-16	881/2014	4	3
292	2014-09-16	579/2013	2	3
293	2014-09-16	290/2012	3	5
294	2014-09-16	628/2013	2	4
295	2014-09-16	865/2014	4	3
296	2014-09-16	879/2014	8	2
297	2014-09-16	791/2014	8	4
298	2014-09-16	558/2013	22	4
299	2014-09-16	770/2014	19	5
300	2014-09-16	744/2014	3	4
301	2014-09-16	566/2013	5	2
302	2014-09-16	411/2012	5	5
303	2014-09-16	174/2011	1	4
304	2014-09-16	869/2014	10	5
305	2014-09-16	622/2013	4	2
306	2014-09-16	618/2013	3	2
307	2014-09-16	820/2014	6	4
308	2014-09-16	204/2011	26	3
309	2014-09-16	244/2011	10	2
310	2014-09-16	834/2014	6	4
311	2014-09-16	819/2014	11	5
312	2014-09-16	805/2014	3	5
313	2014-09-16	244/2011	2	3
314	2014-09-16	814/2014	14	5
315	2014-09-16	485/2012	4	2
316	2014-09-16	798/2014	1	4
317	2014-09-16	636/2013	24	4
318	2014-09-16	507/2012	2	6
319	2014-09-16	565/2013	5	3
320	2014-09-16	378/2012	5	4
321	2014-09-16	795/2014	15	5
322	2014-09-16	595/2013	3	3
323	2014-09-16	821/2014	6	4
324	2014-09-16	736/2014	2	4
325	2014-09-16	796/2014	1	5
326	2014-09-16	482/2012	1	4
327	2014-09-16	780/2014	17	4
328	2014-09-16	815/2014	5	3
329	2014-09-16	251/2011	2	5
330	2014-09-16	859/2014	8	5
331	2014-09-16	807/2014	4	2
332	2014-09-16	766/2014	8	2
333	2014-09-16	750/2014	1	6
334	2014-09-16	556/2013	3	3
335	2014-09-16	386/2012	3	4
336	2014-09-16	634/2013	1	4
337	2014-09-16	552/2013	2	3
338	2014-09-16	791/2014	11	3
339	2014-09-16	806/2014	13	3
340	2014-09-16	178/2011	4	3
341	2014-09-16	790/2014	7	3
342	2014-09-16	728/2014	10	3
343	2014-09-16	661/2013	3	3
344	2014-09-16	835/2014	18	1
345	2014-09-16	719/2014	1	5
346	2014-09-16	417/2012	2	3
347	2014-09-16	746/2014	10	5
348	2014-09-16	488/2012	2	4
349	2014-09-16	878/2014	8	4
350	2014-09-16	197/2011	1	4
351	2014-09-16	485/2012	25	3
352	2014-09-16	474/2012	26	3
353	2014-09-16	766/2014	2	5
354	2014-09-16	373/2012	15	4
355	2014-09-16	784/2014	10	5
356	2014-09-16	743/2014	7	3
357	2014-09-16	824/2014	9	4
358	2014-09-16	197/2011	1	3
359	2014-09-16	768/2014	3	4
360	2014-09-16	299/2012	10	3
361	2014-09-16	869/2014	1	1
362	2014-09-16	734/2014	10	2
363	2014-09-16	659/2013	5	2
364	2014-09-16	577/2013	24	3
365	2014-09-16	554/2013	2	5
366	2014-09-16	296/2012	2	5
367	2014-09-16	711/2014	3	4
368	2014-09-16	290/2012	10	4
369	2014-09-16	371/2012	22	4
370	2014-09-16	209/2011	4	3
371	2014-09-16	700/2013	22	3
372	2014-09-16	806/2014	18	1
373	2014-09-16	856/2014	6	3
374	2014-09-16	552/2013	23	4
375	2014-09-16	653/2013	1	6
376	2014-09-16	172/2011	26	2
377	2014-09-16	402/2012	4	2
378	2014-09-16	189/2011	4	2
379	2014-09-16	846/2014	10	2
380	2014-09-16	770/2014	17	4
381	2014-09-16	742/2014	6	3
382	2014-09-16	405/2012	3	3
383	2014-09-16	716/2014	4	4
384	2014-09-16	618/2013	1	4
385	2014-09-16	829/2014	14	5
386	2014-09-16	524/2013	4	3
387	2014-09-16	881/2014	1	3
388	2014-09-16	815/2014	19	5
389	2014-09-16	845/2014	2	4
390	2014-09-16	797/2014	11	6
391	2014-09-16	754/2014	14	4
392	2014-09-16	715/2014	6	3
393	2014-09-16	516/2013	1	3
394	2014-09-16	723/2014	9	4
395	2014-09-16	806/2014	10	4
396	2014-09-16	627/2013	1	4
397	2014-09-16	779/2014	18	5
398	2014-09-16	788/2014	17	4
399	2014-09-16	734/2014	10	6
400	2014-09-16	205/2011	4	3
401	2014-09-16	700/2013	10	4
402	2014-09-16	203/2011	3	6
403	2014-09-16	190/2011	1	2
404	2014-09-16	412/2012	1	4
405	2014-09-16	309/2012	5	4
406	2014-09-16	476/2012	2	4
407	2014-09-16	567/2013	4	2
408	2014-09-16	131/2011	15	4
409	2014-09-16	829/2014	4	2
410	2014-09-16	155/2011	1	2
411	2014-09-16	828/2014	4	4
412	2014-09-16	540/2013	22	4
413	2014-09-16	824/2014	6	4
414	2014-09-16	829/2014	18	3
415	2014-09-16	832/2014	4	2
416	2014-09-16	300/2012	4	4
417	2014-09-16	470/2012	2	4
418	2014-09-16	704/2014	14	5
419	2014-09-16	577/2013	2	2
420	2014-09-17	302/2012	22	3
421	2014-09-17	714/2014	19	4
422	2014-09-17	782/2014	11	5
423	2014-09-17	475/2012	2	3
424	2014-09-17	879/2014	2	6
425	2014-09-17	788/2014	2	2
426	2014-09-17	180/2011	4	4
427	2014-09-17	330/2012	1	4
428	2014-09-17	567/2013	1	3
429	2014-09-17	526/2013	2	4
430	2014-09-17	231/2011	15	3
431	2014-09-17	559/2013	10	4
432	2014-09-17	758/2014	4	4
433	2014-09-17	618/2013	4	2
434	2014-09-17	504/2012	4	5
435	2014-09-17	721/2014	3	2
436	2014-09-17	719/2014	10	5
437	2014-09-17	606/2013	2	6
438	2014-09-17	811/2014	6	3
439	2014-09-17	704/2014	4	3
440	2014-09-17	544/2013	2	3
441	2014-09-17	449/2012	15	5
442	2014-09-17	738/2014	2	3
443	2014-09-17	678/2013	3	5
444	2014-09-17	782/2014	8	4
445	2014-09-17	843/2014	9	4
446	2014-09-17	817/2014	11	2
447	2014-09-17	856/2014	8	3
448	2014-09-17	175/2011	2	5
449	2014-09-17	563/2013	23	3
450	2014-09-17	880/2014	4	2
451	2014-09-17	715/2014	17	2
452	2014-09-17	719/2014	17	2
453	2014-09-17	252/2011	2	3
454	2014-09-17	394/2012	4	3
455	2014-09-17	481/2012	5	3
456	2014-09-17	804/2014	8	3
457	2014-09-17	262/2011	27	2
458	2014-09-17	755/2014	15	5
459	2014-09-17	679/2013	4	2
460	2014-09-17	751/2014	11	4
461	2014-09-17	129/2011	15	3
462	2014-09-17	581/2013	3	3
463	2014-09-17	590/2013	3	4
464	2014-09-17	535/2013	4	2
465	2014-09-17	288/2012	3	3
466	2014-09-17	580/2013	22	2
467	2014-09-17	285/2012	3	5
468	2014-09-17	519/2013	2	3
469	2014-09-17	833/2014	15	2
470	2014-09-17	787/2014	13	2
471	2014-09-17	881/2014	13	6
472	2014-09-17	839/2014	8	2
473	2014-09-17	684/2013	3	6
474	2014-09-17	386/2012	2	6
475	2014-09-17	842/2014	5	3
476	2014-09-17	802/2014	1	4
477	2014-09-17	744/2014	8	4
478	2014-09-17	877/2014	13	4
479	2014-09-17	870/2014	19	2
480	2014-09-17	614/2013	20	2
481	2014-09-17	799/2014	15	3
482	2014-09-17	413/2012	25	3
483	2014-09-17	826/2014	5	3
484	2014-09-17	468/2012	4	1
485	2014-09-17	243/2011	25	3
486	2014-09-17	839/2014	9	2
487	2014-09-17	445/2012	10	4
488	2014-09-17	789/2014	14	4
489	2014-09-17	162/2011	2	3
490	2014-09-17	571/2013	20	2
491	2014-09-17	574/2013	22	3
492	2014-09-17	466/2012	3	4
493	2014-09-17	740/2014	9	2
494	2014-09-17	670/2013	4	4
495	2014-09-17	173/2011	4	3
496	2014-09-17	675/2013	3	4
497	2014-09-17	818/2014	4	4
498	2014-09-17	559/2013	5	4
499	2014-09-17	857/2014	18	4
500	2014-09-17	352/2012	25	4
501	2014-09-17	547/2013	3	4
502	2014-09-17	293/2012	5	2
503	2014-09-17	836/2014	6	3
504	2014-09-17	311/2012	22	3
505	2014-09-17	396/2012	10	3
506	2014-09-17	822/2014	5	1
507	2014-09-17	611/2013	21	4
508	2014-09-17	741/2014	5	4
509	2014-09-17	424/2012	15	4
510	2014-09-17	177/2011	3	3
511	2014-09-17	452/2012	24	2
512	2014-09-17	656/2013	2	4
513	2014-09-17	755/2014	12	2
514	2014-09-17	823/2014	5	2
515	2014-09-17	643/2013	4	3
516	2014-09-17	730/2014	6	2
517	2014-09-17	735/2014	5	5
518	2014-09-17	788/2014	14	2
519	2014-09-17	871/2014	7	2
520	2014-09-17	818/2014	6	4
521	2014-09-17	148/2011	4	4
522	2014-09-17	524/2013	4	2
523	2014-09-17	306/2012	2	4
524	2014-09-17	785/2014	13	4
525	2014-09-17	615/2013	23	3
526	2014-09-17	208/2011	3	5
527	2014-09-17	643/2013	5	2
528	2014-09-17	774/2014	9	4
529	2014-09-17	774/2014	8	4
530	2014-09-17	784/2014	9	5
531	2014-09-17	832/2014	1	3
532	2014-09-17	672/2013	1	5
533	2014-09-17	850/2014	1	4
534	2014-09-17	737/2014	10	4
535	2014-09-17	724/2014	7	2
536	2014-09-17	353/2012	2	3
537	2014-09-17	714/2014	14	3
538	2014-09-17	634/2013	10	1
539	2014-09-17	352/2012	24	5
540	2014-09-17	756/2014	10	4
541	2014-09-17	734/2014	6	4
542	2014-09-17	806/2014	4	3
543	2014-09-17	763/2014	4	2
544	2014-09-17	257/2011	1	3
545	2014-09-17	420/2012	4	4
546	2014-09-17	592/2013	4	3
547	2014-09-17	540/2013	24	6
548	2014-09-17	785/2014	1	2
549	2014-09-17	874/2014	10	2
550	2014-09-17	254/2011	3	1
551	2014-09-17	272/2012	24	4
552	2014-09-17	251/2011	4	6
553	2014-09-17	482/2012	16	3
554	2014-09-17	525/2013	5	4
555	2014-09-17	738/2014	1	5
556	2014-09-17	604/2013	5	2
557	2014-09-17	693/2013	1	2
558	2014-09-17	825/2014	13	2
559	2014-09-17	271/2012	3	1
560	2014-09-17	432/2012	3	2
561	2014-09-17	724/2014	6	4
562	2014-09-17	770/2014	6	3
563	2014-09-17	711/2014	11	5
564	2014-09-17	625/2013	5	4
565	2014-09-17	525/2013	2	2
566	2014-09-17	743/2014	7	3
567	2014-09-17	828/2014	8	4
568	2014-09-17	820/2014	4	3
569	2014-09-17	850/2014	10	4
570	2014-09-17	394/2012	2	3
571	2014-09-17	864/2014	15	2
572	2014-09-17	276/2012	1	4
573	2014-09-17	878/2014	4	5
574	2014-09-17	708/2014	6	4
575	2014-09-17	540/2013	2	2
576	2014-09-17	742/2014	10	5
577	2014-09-17	746/2014	6	4
578	2014-09-17	819/2014	9	4
579	2014-09-17	319/2012	16	4
580	2014-09-17	704/2014	8	3
581	2014-09-17	823/2014	11	4
582	2014-09-17	443/2012	1	5
583	2014-09-17	453/2012	4	1
584	2014-09-17	803/2014	13	5
585	2014-09-17	802/2014	6	2
586	2014-09-17	333/2012	2	2
587	2014-09-17	874/2014	4	5
588	2014-09-17	684/2013	4	3
589	2014-09-17	756/2014	9	5
590	2014-09-17	435/2012	1	4
591	2014-09-17	617/2013	5	2
592	2014-09-17	472/2012	16	4
593	2014-09-17	535/2013	4	3
594	2014-09-17	749/2014	19	3
595	2014-09-17	858/2014	8	5
596	2014-09-17	836/2014	12	5
597	2014-09-17	825/2014	5	4
598	2014-09-17	342/2012	5	2
599	2014-09-17	703/2014	13	3
600	2014-09-17	263/2011	10	4
601	2014-09-17	334/2012	10	3
602	2014-09-17	342/2012	3	2
603	2014-09-17	654/2013	10	3
604	2014-09-17	808/2014	7	4
605	2014-09-17	798/2014	4	3
606	2014-09-17	198/2011	3	3
607	2014-09-17	796/2014	13	4
608	2014-09-17	280/2012	1	2
609	2014-09-17	758/2014	19	6
610	2014-09-18	391/2012	16	2
611	2014-09-18	476/2012	15	5
612	2014-09-18	705/2014	7	2
613	2014-09-18	758/2014	7	3
614	2014-09-18	485/2012	1	4
615	2014-09-18	579/2013	21	2
616	2014-09-18	699/2013	1	4
617	2014-09-18	720/2014	18	6
618	2014-09-18	526/2013	4	3
619	2014-09-18	723/2014	19	2
620	2014-09-18	220/2011	2	3
621	2014-09-18	872/2014	13	2
622	2014-09-18	443/2012	2	3
623	2014-09-18	229/2011	3	5
624	2014-09-18	779/2014	14	4
625	2014-09-18	736/2014	2	4
626	2014-09-18	764/2014	10	4
627	2014-09-18	845/2014	2	2
628	2014-09-18	586/2013	23	3
629	2014-09-18	138/2011	3	5
630	2014-09-18	633/2013	5	2
631	2014-09-18	732/2014	2	3
632	2014-09-18	865/2014	7	3
633	2014-09-18	227/2011	10	4
634	2014-09-18	527/2013	1	2
635	2014-09-18	652/2013	22	4
636	2014-09-18	339/2012	25	4
637	2014-09-18	878/2014	17	3
638	2014-09-18	519/2013	3	4
639	2014-09-18	846/2014	4	6
640	2014-09-18	732/2014	8	3
641	2014-09-18	398/2012	2	3
642	2014-09-18	255/2011	3	4
643	2014-09-18	625/2013	3	2
644	2014-09-18	701/2014	14	3
645	2014-09-18	844/2014	2	3
646	2014-09-18	779/2014	11	2
647	2014-09-18	224/2011	10	4
648	2014-09-18	791/2014	1	4
649	2014-09-18	180/2011	10	2
650	2014-09-18	462/2012	4	4
651	2014-09-18	227/2011	2	4
652	2014-09-18	576/2013	22	2
653	2014-09-18	395/2012	26	6
654	2014-09-18	777/2014	19	2
655	2014-09-18	808/2014	15	3
656	2014-09-18	611/2013	5	3
657	2014-09-18	570/2013	5	3
658	2014-09-18	642/2013	24	3
659	2014-09-18	713/2014	4	4
660	2014-09-18	702/2014	3	3
661	2014-09-18	500/2012	5	5
662	2014-09-18	432/2012	26	2
663	2014-09-18	644/2013	3	1
664	2014-09-18	160/2011	3	4
665	2014-09-18	825/2014	13	5
666	2014-09-18	737/2014	7	3
667	2014-09-18	165/2011	2	2
668	2014-09-18	776/2014	6	4
669	2014-09-18	579/2013	2	4
670	2014-09-18	768/2014	2	5
671	2014-09-18	283/2012	4	5
672	2014-09-18	221/2011	27	3
673	2014-09-18	194/2011	25	3
674	2014-09-18	592/2013	22	3
675	2014-09-18	154/2011	3	3
676	2014-09-18	271/2012	25	2
677	2014-09-18	820/2014	8	5
678	2014-09-18	751/2014	4	3
679	2014-09-18	601/2013	3	5
680	2014-09-18	762/2014	7	4
681	2014-09-18	698/2013	2	3
682	2014-09-18	410/2012	5	2
683	2014-09-18	858/2014	10	4
684	2014-09-18	787/2014	15	5
685	2014-09-18	166/2011	1	5
686	2014-09-18	259/2011	4	2
687	2014-09-18	629/2013	1	3
688	2014-09-18	469/2012	5	5
689	2014-09-18	573/2013	3	3
690	2014-09-18	605/2013	1	2
691	2014-09-18	596/2013	10	2
692	2014-09-18	556/2013	20	1
693	2014-09-18	850/2014	4	2
694	2014-09-18	789/2014	5	2
695	2014-09-18	539/2013	15	2
696	2014-09-18	713/2014	1	4
697	2014-09-18	348/2012	3	4
698	2014-09-18	811/2014	15	2
699	2014-09-18	813/2014	8	4
700	2014-09-18	226/2011	3	3
701	2014-09-18	625/2013	1	5
702	2014-09-18	860/2014	1	5
703	2014-09-18	812/2014	7	4
704	2014-09-18	204/2011	4	3
705	2014-09-18	633/2013	15	4
706	2014-09-18	526/2013	4	4
707	2014-09-18	624/2013	10	3
708	2014-09-18	181/2011	1	2
709	2014-09-18	864/2014	10	6
710	2014-09-18	469/2012	24	5
711	2014-09-18	619/2013	24	5
712	2014-09-18	225/2011	2	2
713	2014-09-18	662/2013	24	3
714	2014-09-18	338/2012	24	4
715	2014-09-18	152/2011	1	4
716	2014-09-18	799/2014	7	2
717	2014-09-18	623/2013	1	4
718	2014-09-18	733/2014	3	4
719	2014-09-18	770/2014	13	3
720	2014-09-18	720/2014	5	2
721	2014-09-18	819/2014	1	2
722	2014-09-18	599/2013	5	2
723	2014-09-18	549/2013	15	3
724	2014-09-18	853/2014	2	4
725	2014-09-18	755/2014	4	6
726	2014-09-18	248/2011	4	3
727	2014-09-18	716/2014	7	1
728	2014-09-18	786/2014	6	3
729	2014-09-18	855/2014	6	2
730	2014-09-18	453/2012	25	6
731	2014-09-18	804/2014	3	2
732	2014-09-18	591/2013	5	4
733	2014-09-18	151/2011	10	2
734	2014-09-18	155/2011	26	4
735	2014-09-18	409/2012	15	5
736	2014-09-18	314/2012	2	5
737	2014-09-18	589/2013	3	5
738	2014-09-18	833/2014	13	4
739	2014-09-18	856/2014	10	3
740	2014-09-18	620/2013	1	2
741	2014-09-18	131/2011	4	4
742	2014-09-18	838/2014	8	2
743	2014-09-18	707/2014	7	4
744	2014-09-18	254/2011	3	2
745	2014-09-18	801/2014	5	4
746	2014-09-18	873/2014	5	2
747	2014-09-18	710/2014	18	2
748	2014-09-18	825/2014	8	5
749	2014-09-18	622/2013	2	1
750	2014-09-18	599/2013	5	4
751	2014-09-18	866/2014	2	6
752	2014-09-18	209/2011	4	3
753	2014-09-18	205/2011	4	2
754	2014-09-18	678/2013	3	2
755	2014-09-18	833/2014	19	2
756	2014-09-18	578/2013	1	6
757	2014-09-18	570/2013	1	3
758	2014-09-18	811/2014	15	3
759	2014-09-18	550/2013	2	3
760	2014-09-18	460/2012	4	2
761	2014-09-18	756/2014	19	4
762	2014-09-18	405/2012	15	5
763	2014-09-18	807/2014	19	4
764	2014-09-18	321/2012	24	3
765	2014-09-18	543/2013	5	4
766	2014-09-18	770/2014	5	3
767	2014-09-18	577/2013	3	5
768	2014-09-18	781/2014	5	4
769	2014-09-18	222/2011	26	3
770	2014-09-18	669/2013	1	6
771	2014-09-18	300/2012	25	4
772	2014-09-18	719/2014	7	2
773	2014-09-18	794/2014	4	2
774	2014-09-18	660/2013	24	3
